IdCN;NazwaCN;OpisCN;UwagaCN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
0603 19 10;Gladiole cięte i pąki kwiatowe, na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 19 20;Jaskry cięte i pąki kwiatowe, na bukiety lub do celów zdobniczych, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 19 70;Kwiaty cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, świeże (z wył. róż, goździków, orchidei, chryzantem, gladioli, jaskrów i liliowatych);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0603 90 00;Kwiaty cięte i pąki kwiatowe gatunków odpowiednich na bukiety lub do celów zdobniczych, suszone, barwione, bielone, impregnowane lub w inny sposób przygotowane ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0604 20 20;Choinki bożonarodzeniowe, świeże;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0701 10 00;Sadzeniaki ziemniaków;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0701 90 10;Ziemniaki do produkcji skrobi, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0701 90 50;Ziemniaki młode, świeże lub schłodzone, od dnia 1 stycznia do dnia 30 czerwca;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0701 90 90;Ziemniaki świeże lub schłodzone (z wył. ziemniaków młodych od 1 stycznia do dnia 30 czerwca, sadzeniaków i ziemniaków do produkcji skrobi);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0702 00 00;Pomidory, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0703 10 11;Dymka, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0703 10 19;Cebula, świeża lub schłodzona (z wył. dymki);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0703 10 90;Szalotka, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0703 20 00;Czosnek, świeży lub schłodzony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0703 90 00;Pory i pozostałe warzywa cebulowe, świeże lub schłodzone (z wył. cebuli, szalotki i czosnku);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0704 10 10;Kalafiory i brokuły głowiaste, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0704 10 90;Świeże lub schłodzone kalafiory i brokuły z wył. kalafiorów i brokułów głowiastych;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0704 20 00;Brukselka, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0704 90 10;Kapusta biała i kapusta czerwona, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0704 90 90;Kalarepa, jarmuż i podobne jadalne kapusty, świeże lub schłodzone (z wył. kalafiorów, brokułów głowiastych i brukselki, kapusty białej i kapusty czerwonej);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0705 11 00;Sałata głowiasta, świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0705 19 00;Sałata, świeża lub schłodzona (z wył. sałaty głowiastej);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0705 21 00;Cykoria warzywna (cykoria brukselska),świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0705 29 00;Cykoria (z wył. cykorii warzywnej), świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0706 10 00;Marchew lub rzepa, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0706 90 10;Selery (korzeniowe lub niemieckie), świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0706 90 30;Chrzan "Cochlearia armoracia", świeży lub schłodzony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0706 90 90;Buraki sałatkowe, salsefia, rzodkiewki i podobne korzenie jadalne (z wył. marchwi, rzepy, selera i chrzanu), świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0707 00 05;Ogórki, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0707 00 90;Korniszony, świeże lub schłodzone;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0708 10 00;Groch "Pisum sativum", łuskany lub niełuskany, świeży lub schłodzony;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0708 20 00;Fasola "Vigna spp., Phaseolus spp.", łuskana lub niełuskana,  świeża lub schłodzona;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0708 90 00;Warzywa strączkowe, łuskane lub niełuskane, świeże lub schłodzone (z wył. grochu "Pisum sativum" i fasoli [Vigna spp., Phaseolus spp.]);;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 20 00;Szparagi, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 30 00;Oberżyny "bakłażany", świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 40 00;Selery inne niż seler korzeniowy, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 51 00;Grzyby z rodzaju "Agaricus", świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 52 00;Grzyby z rodzaju Boletus, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 53 00;Grzyby z rodzaju Cantharellus, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 54 00;Grzyby shiitake (Lentinus edodes), świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 55 00;Grzyby matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum), świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 56 00;Trufle (Tuber spp.), świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 59 00;Grzyby jadalne, świeże lub schłodzone (z wył. grzybów z rodzaju "Agaricus", "Boletus", "Cantharellus", grzybów shiitake (Lentinus edodes), grzybów matsutake (Tricholoma matsutake, Tricholoma magnivelare, Tricholoma anatolicum, Tricholoma dulciolens, Tricholoma caligatum), trufli (Tuber spp.));;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 60 10;Słodka papryka, świeża lub schłodzona ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 60 91;Owoce z rodzaju Capsicum, do produkcji pieprzu tureckiego lub barwników oleożywicznych Capsicum, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
0709 60 95;Owoce z rodzaju Capsicum lub z rodzaju Pimenta, do przemysłowej produkcji olejków eterycznych lub żywicznych, świeże lub schłodzone ;;;D;Dodany;2025-04-13 00:57:18;Darek Osuch;;;;
