IdUprawa_ZmianowanieWarzywo;IdUprawa;IdZmianowanieWarzywo;NazwaUprawa_ZmianowanieWarzywo;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.27.11.0_901;01.27.11.0;901;Kawa niepalona w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.12.0_902;01.27.12.0;902;Herbata w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.13.0_902;01.27.13.0;902;Maté (herbata paragwajska) w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.27.14.0_902;01.27.14.0;902;Ziarna kakao w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.11.0_902;01.28.11.0;902;Pieprz surowy z rodzaju Piper w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.12.0_902;01.28.12.0;902;Chili i słodka papryka (z rodzaju Capsicum), surowe, suszone w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.13.0_902;01.28.13.0;902;Gałka muszkatołowa, kwiat muszkatołowy i kardamon, surowe w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.14.0_901;01.28.14.0;901;Anyż, badian, kolendra, kmin, kminek, koper i jagody jałowca, surowe w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.15.0_902;01.28.15.0;902;Cynamon surowy i kwiaty cynamonowca w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.16.0_901;01.28.16.0;901;Goździki (całe owoce, kwiaty i szypułki) surowe w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.17.0_901;01.28.17.0;901;Imbir surowy, suszony w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.18.0_902;01.28.18.0;902;Wanilia surowa w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.19.0_902;01.28.19.0;902;Pozostałe nieprzetworzone rośliny przyprawowe i aromatyczne w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.20.0_901;01.28.20.0;901;Szyszki chmielowe w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.28.30.0_902;01.28.30.0;902;Rośliny wykorzystywane głównie w przemyśle perfumeryjnym, farmacji lub dla celów owadobójczych, grzybobójczych i innych podobnych w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:41;Darek Osuch;;
01.29.10.0_901;01.29.10.0;901;Kauczuk naturalny w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:41;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.20.0_902;01.29.20.0;902;Choinki świąteczne cięte w zmianowaniu z uprawami innymi niż warzywa;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.29.30.0_901;01.29.30.0;901;Materiały roślinne w rodzaju stosowanych głównie do wyplatania, wyściełania, wypychania lub w farbowaniu lub garbowaniu w zmianowaniu z innymi warzywami;Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
01.30.10.0_902;01.30.10.0;902;"Materiał nasadzeniowy: rośliny żywe, cebulki, bulwy i korzenie, sadzonki i szczepy; grzybnia w zmianowaniu z uprawami innymi niż warzywa";Z;Zmodyfikowany;2025-03-25 19:09:42;Darek Osuch;2025-03-25 19:09:42;Darek Osuch;;
