IdUprawa_TypUprawa;IdUprawa;IdTypUprawa;NazwaUprawa_TypUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.13.11.0_501;01.13.11.0;501;Szparagi w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.12.0_501;01.13.12.0;501;Kapusta w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.13.0_505;01.13.13.0;505;Kalafiory i brokuły jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.14.0_502;01.13.14.0;502;Sałata jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.15.0_505;01.13.15.0;505;Cykoria jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.16.0_505;01.13.16.0;505;Szpinak jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.17.0_504;01.13.17.0;504;Karczochy jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.19.0_501;01.13.19.0;501;Pozostałe warzywa liściowe i łodygowe w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.21.0_504;01.13.21.0;504;Arbuzy jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.29.0_505;01.13.29.0;505;Melony jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.31.0_504;01.13.31.0;504;Papryka i inne warzywa owocowe (wyłącznie z rodzaju Capsicum) jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.32.0_501;01.13.32.0;501;Ogórki i korniszony w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.33.0_502;01.13.33.0;502;Bakłażany (oberżyny) jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.34.0_502;01.13.34.0;502;Pomidory jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.39.0_505;01.13.39.0;505;Pozostałe, świeże lub schłodzone warzywa owocowe, gdzie indziej niesklasyfikowane jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.41.0_502;01.13.41.0;502;Marchew i rzepa jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.42.0_505;01.13.42.0;505;Czosnek jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.43.0_504;01.13.43.0;504;Cebula jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.44.0_503;01.13.44.0;503;Pory i pozostałe warzywa z rodziny czosnkowatych jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.49.0_505;01.13.49.0;505;Pozostałe, świeże lub schłodzone warzywa korzeniowe, cebulowe i bulwiaste, z wyłączeniem warzyw o dużej zawartości skrobi i inuliny jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.51.0_502;01.13.51.0;502;Ziemniaki jako przedplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.52.0_501;01.13.52.0;501;Ziemniaki słodkie (bataty, pataty) w plonie głównym;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.53.0_505;01.13.53.0;505;Maniok (cassava) jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.54.0_503;01.13.54.0;503;Kolokazja jadalna (taro) jako międzyplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.59.0_504;01.13.59.0;504;Pozostałe jadalne korzenie i bulwy o dużej zawartości skrobi i inuliny jako poplon;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
01.13.60.0_505;01.13.60.0;505;Nasiona warzyw, z wyłączeniem nasion buraków cukrowych jako wsiewka;Z;Zmodyfikowany;2025-03-25 19:09:39;Darek Osuch;2025-03-25 19:09:39;Darek Osuch;;
