IdUprawa_RodzajUprawa;IdUprawa;IdRodzajUprawa;NazwaUprawa_RodzajUprawa;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.16.12.0_701;01.16.12.0;701;Juta, kenaf i pozostałe włókna tekstylne łykowe, surowe lub roszone, z wyłączeniem lnu, konopi i ramii na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.16.19.0_701;01.16.19.0;701;Len, konopie oraz pozostałe surowe rośliny włókniste, gdzie indziej niesklasyfikowane na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.10.0_702;01.19.10.0;702;ROŚLINY PASTEWNE pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.21.0_703;01.19.21.0;703;Kwiaty cięte i pąki kwiatowe bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.22.0_703;01.19.22.0;703;Nasiona kwiatów bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.31.0_701;01.19.31.0;701;Nasiona roślin pastewnych, włączając nasiona buraków pastewnych na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.19.39.0_703;01.19.39.0;703;Pozostałe surowe produkty roślinne, gdzie indziej niesklasyfikowane bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.21.11.0_702;01.21.11.0;702;Winogrona stołowe pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.21.12.0_701;01.21.12.0;701;Pozostałe winogrona świeże na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.22.11.0_703;01.22.11.0;703;Awokado bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.22.12.0_703;01.22.12.0;703;Banany, plantany itp. bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.22.13.0_703;01.22.13.0;703;Daktyle bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.22.14.0_703;01.22.14.0;703;Figi bezglebowo;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.22.19.0_702;01.22.19.0;702;Pozostałe świeże owoce tropikalne i podzwrotnikowe pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.23.11.0_701;01.23.11.0;701;Pomelo i grejpfruty na otwartym polu;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
01.23.12.0_702;01.23.12.0;702;Cytryny i limonki pod osłonami;Z;Zmodyfikowany;2025-03-25 19:09:40;Darek Osuch;2025-03-25 19:09:40;Darek Osuch;;
