IdProdukt;NazwaProdukt;OpisProdukt;UwagaProdukt;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.76.0;Fasolnik chiński, suszony;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.77;Nikla indyjska, suszona;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.77.0;Nikla indyjska, suszona;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.79;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.79.0;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.8;NASIONA SOI I ORZESZKI ZIEMNE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.81;Nasiona soi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.81.0;Nasiona soi;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.82;Orzeszki ziemne w łupinach;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.82.0;Orzeszki ziemne w łupinach;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.9;POZOSTAŁE NASIONA OLEISTE;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.91;Nasiona lnu;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.91.0;Nasiona lnu;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.92;Nasiona gorczycy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.92.0;Nasiona gorczycy;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.93;Nasiona rzepaku i rzepiku;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.93.0;Nasiona rzepaku i rzepiku;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.94;Nasiona sezamu;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
01.11.94.0;Nasiona sezamu;;;D;Dodany;2025-04-13 00:56:23;Darek Osuch;;;;
