IdProdukt_RodzajProdukt;IdCN;NazwaProdukt_RodzajProdukt_CN;IdStatus;Status;DataDodania;DodanyPrzez;DataModyfikacji;ZmodyfikowanyPrzez;DataUsuniecia;UsunietyPrzez
01.11.71.0_;0713 34 00;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.71.0_;0713 39 00;Fasola, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.72.0_;0713 50 00;Bób i bobik, suszone ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.73.0_;0713 20 00;Ciecierzyca (cieciorka), suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.74.0_;0713 40 00;Soczewica, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.75.0_;0713 10 10;Groch, suszony ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.75.0_;0713 10 90;Groch, suszony ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.76.0_;0713 35 00;Fasolnik chiński, suszony ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.77.0_;0713 60 00;Nikla indyjska, suszona ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.79.0_;0713 90 00;Warzywa strączkowe suszone, gdzie indziej niesklasyfikowane ;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
01.11.81.0_111;1201 10 00;Nasiona soi na nasiona/sadzonki;D;Dodany;2025-04-08 00:11:50;Darek Osuch;;;;
